       0       888      3345  1.731909E+01
       2      1407      4122  9.861478E+00
       3      1941      4787  8.569867E+00
       4      2524      5456  7.774373E+00
       5      3148      6173  7.144487E+00
       6      3764      6852  6.642452E+00
       7      4364      7528  6.290668E+00
       8      4949      8144  5.955532E+00
       9      5537      8795  5.778660E+00
      10      6091      9444  5.521313E+00
      11      6659     10028  5.402023E+00
      12      7215     10661  5.262825E+00
      13      7733     11244  5.160041E+00
      14      8296     11853  5.055619E+00
      15      8888     12494  4.928259E+00
      16      9440     13101  4.853391E+00
      17     10002     13708  4.804425E+00
      18     10516     14284  4.744090E+00
      19     11046     14889  4.683547E+00
      20     11597     15480  4.585258E+00
      21     12183     16105  4.530746E+00
      22     12706     16657  4.446373E+00
      23     13271     17278  4.360220E+00
      24     13743     17773  4.312447E+00
      25     14281     18356  4.302511E+00
      26     14785     18895  4.264460E+00
      27     15330     19461  4.250316E+00
      28     15879     20009  4.206548E+00
      29     16398     20595  4.160203E+00
      30     16996     21217  4.111640E+00
      31     17503     21740  4.053524E+00
      32     18004     22261  4.016654E+00
      33     18560     22842  4.005428E+00
      34     19104     23416  3.976597E+00
      35     19673     24011  3.939384E+00
      36     20202     24587  3.856282E+00
      37     20612     25015  3.809982E+00
      38     21162     25561  3.804010E+00
      39     21676     26079  3.751621E+00
      40     22192     26606  3.726859E+00
      41     22717     27159  3.673821E+00
      42     23208     27680  3.662305E+00
      43     23736     28195  3.616811E+00
      44     24236     28720  3.582228E+00
      45     24737     29229  3.529058E+00
      46     25183     29695  3.516121E+00
      47     25663     30180  3.479638E+00
      48     26117     30640  3.440840E+00
      49     26512     31055  3.439712E+00
      50     27004     31560  3.394122E+00
      51     27384     31970  3.343064E+00
      52     27801     32388  3.333653E+00
      53     28238     32813  3.337247E+00
      54     28712     33300  3.311564E+00
      55     29143     33764  3.281226E+00
      56     29532     34141  3.256573E+00
      57     29980     34595  3.227577E+00
      58     30387     34997  3.203087E+00
      59     30794     35417  3.176062E+00
      60     31184     35836  3.154200E+00
      61     31562     36213  3.127305E+00
      62     31918     36561  3.118961E+00
      63     32333     36978  3.122276E+00
      64     32701     37332  3.106840E+00
      65     33070     37716  3.097380E+00
      66     33444     38129  3.090056E+00
      67     33795     38489  3.076338E+00
      68     34202     38902  3.059525E+00
      69     34570     39261  3.021928E+00
      70     34942     39631  3.009457E+00
      71     35284     39998  2.994670E+00
      72     35603     40321  2.990810E+00
      73     35970     40697  2.982418E+00
      74     36345     41092  2.968858E+00
